CustomerID,InternalObligorID,OriginalInternalObligorID,ObligorName,City,Country,ZipCodeForeignMailingCode,IndustryCode,IndustryCodeType,InternalRating,TIN,StockExchange,TKR,CUSIP,InternalCreditFacilityID,OriginalInternalCreditFacilityID,OriginationDate,MaturityDate,FacilityType,OtherFacilityType,CreditFacilityPurpose,OtherFacilityPurpose,CommittedExposure,UtilizedExposure,LineReportedOnFRY9C,LineOfBusiness,CumulativeChargeoffs,ASC310-10
CUST001,OBL001,OBL001,MedTech Solutions,Boston,US,2210,339112,1,AA,12-3456789,NASDAQ,MDTS,112233,FCL001,FCL001,2020-05-12,2025-05-12,7,,11,,10000000,5000000,4,Healthcare Finance,0,0
CUST002,OBL002,OBL002,Individual,Miami,US,33101,551112,2,B-,,NYSE,INVALID,INVALID,FCL002,FCL002,2021-01-30,2026-01-30,1,,9,,5000000,2000000,4,Retail Banking,10000,2000
CUST003,OBL003,OBL003,GreenEnergy Co.,Denver,XX,80202,221111,1,A+,987654321,LSE,GREN,445566,FCL003,FCL003_OLD,2022-11-15,2030-11-15,99,Carbon Credit Loan,0,Renewable Project,25000000,12000000,5,Energy Lending,50000,10000
CUST004,OBL004,OBL004,Global Logistics,Chicago,US,60601,488510,1,BBB,23-4567890,NYSE,GLOB,778899,FCL004,FCL004,2019-08-20,2024-08-20,7,,11,,8000000,4000000,4,Transport Finance,0,0
CUST005,OBL005,OBL005,Individual,Dallas,US,75201,624410,3,C,,,,,FCL005,FCL005,2023-02-28,9999-01-01,5,,10,,300000,0,3,Consumer Loans,5000,0
CUST006,OBL006,OBL006,SteelWorks Inc.,Pittsburgh,US,15222,331111,1,BB,34-5678901,NYSE,STLW,667788,FCL006,FCL006,2018-07-10,2025-07-10,12,,25,,15000000,7500000,4,Industrial Loans,200000,30000
CUST007,OBL007,OBL007,Individual,Phoenix,US,85001,722511,2,D,,NASDAQ,INVALID,INVALID,FCL007,FCL007,2021-04-05,2026-04-05,1,,7,,1000000,500000,4,Hospitality Lending,25000,5000
CUST008,OBL008,OBL008,DataSecure Ltd.,San Jose,CA,95113,518210,1,AAA,45-6789012,NASDAQ,DTSEC,334455,FCL008,FCL008,2020-09-15,2027-09-15,7,,11,,50000000,25000000,4,Tech Banking,0,0
CUST009,OBL009,OBL009,FarmFresh Co.,Omaha,US,68102,111110,3,BBB-,,,,,FCL009,FCL009,2019-03-18,2024-03-18,14,,14,,2000000,1000000,3,Agricultural Loans,0,0
CUST010,OBL010,OBL010,Individual,Atlanta,ZZ,30301,812310,2,F,,NYSE,INVALID,INVALID,FCL010,FCL010,2022-12-01,2032-12-01,1,,9,,750000,300000,4,Retail Banking,15000,3000
